harness,run_id,task_id,repository,trial,status,protocol_completed,content_passed,termination,turns,total_tokens,tool_calls,wall_seconds
Pi,issue-eval-astropy-12907-t1-a1-e447c3f7,issue-eval-astropy-12907,astropy/astropy,1,COMPLETED,True,True,completed,39,62481,44,183.8
Pi,issue-eval-astropy-12907-t2-a1-95a358ed,issue-eval-astropy-12907,astropy/astropy,2,COMPLETED,True,True,completed,31,31967,41,126.3
Pi,issue-eval-astropy-12907-t3-a1-1b2a8a7f,issue-eval-astropy-12907,astropy/astropy,3,COMPLETED,True,True,completed,23,28158,29,135.4
nanoCursor,issue-eval-astropy-12907-nanocursor-t1-a1-fe5787f7,issue-eval-astropy-12907,astropy/astropy,1,COMPLETED,True,True,completed,39,40018,48,150.7
nanoCursor,issue-eval-astropy-12907-nanocursor-t2-a1-a8fc62dc,issue-eval-astropy-12907,astropy/astropy,2,COMPLETED,True,True,completed,35,34321,41,147.1
nanoCursor,issue-eval-astropy-12907-nanocursor-t3-a1-b8afe925,issue-eval-astropy-12907,astropy/astropy,3,COMPLETED,True,True,completed,26,23141,28,93.1
Pi,issue-eval-astropy-13453-t1-a1-e7e653af,issue-eval-astropy-13453,astropy/astropy,1,COMPLETED,True,True,completed,53,75165,64,214.8
Pi,issue-eval-astropy-13453-t2-a1-f411b391,issue-eval-astropy-13453,astropy/astropy,2,COMPLETED,True,True,completed,50,58232,63,162.4
Pi,issue-eval-astropy-13453-t3-a1-26f24d08,issue-eval-astropy-13453,astropy/astropy,3,COMPLETED,True,True,completed,53,55530,58,142.6
nanoCursor,issue-eval-astropy-13453-nanocursor-t1-a1-fa191faf,issue-eval-astropy-13453,astropy/astropy,1,COMPLETED,True,True,completed,54,57298,62,173.6
nanoCursor,issue-eval-astropy-13453-nanocursor-t2-a1-aec543db,issue-eval-astropy-13453,astropy/astropy,2,COMPLETED,True,True,completed,66,70816,77,216.6
nanoCursor,issue-eval-astropy-13453-nanocursor-t3-a1-488a6b09,issue-eval-astropy-13453,astropy/astropy,3,COMPLETED,True,True,completed,59,61398,71,185.4
Pi,issue-eval-django-11133-t1-a1-7559562c,issue-eval-django-11133,django/django,1,COMPLETED,True,True,completed,53,44389,68,214.0
Pi,issue-eval-django-11133-t2-a1-f22b5148,issue-eval-django-11133,django/django,2,COMPLETED,True,True,completed,52,63921,68,305.8
Pi,issue-eval-django-11133-t3-a1-c1d51f96,issue-eval-django-11133,django/django,3,COMPLETED,True,True,completed,96,56799,105,277.2
nanoCursor,issue-eval-django-11133-nanocursor-t1-a1-ebea41d4,issue-eval-django-11133,django/django,1,COMPLETED,True,True,completed,31,39313,40,110.9
nanoCursor,issue-eval-django-11133-nanocursor-t2-a1-6ebd3d5b,issue-eval-django-11133,django/django,2,COMPLETED,True,True,completed,30,37145,39,138.5
nanoCursor,issue-eval-django-11133-nanocursor-t3-a1-d9f0df5d,issue-eval-django-11133,django/django,3,COMPLETED,True,True,completed,36,38890,40,126.7
Pi,issue-eval-django-11141-t1-a1-ccbe9c80,issue-eval-django-11141,django/django,1,PARTIAL,False,False,completed,47,78612,72,355.7
Pi,issue-eval-django-11141-t2-a1-5eb9a51a,issue-eval-django-11141,django/django,2,INFRA_BLOCKED,False,False,completed,46,63531,66,272.3
Pi,issue-eval-django-11141-t3-a1-f6e8eefb,issue-eval-django-11141,django/django,3,PARTIAL,False,False,completed,62,80282,91,394.3
nanoCursor,issue-eval-django-11141-nanocursor-t1-a1-2ae354f7,issue-eval-django-11141,django/django,1,PARTIAL,False,False,completed,37,64095,57,245.4
nanoCursor,issue-eval-django-11141-nanocursor-t2-a1-b97e35c7,issue-eval-django-11141,django/django,2,PARTIAL,False,False,completed,35,39032,53,163.8
nanoCursor,issue-eval-django-11141-nanocursor-t3-a1-c05efee3,issue-eval-django-11141,django/django,3,PARTIAL,False,False,completed,40,66235,56,230.7
Pi,issue-eval-matplotlib-23412-t1-a1-c33abac0,issue-eval-matplotlib-23412,matplotlib/matplotlib,1,COMPLETED,True,True,completed,85,103360,115,345.0
Pi,issue-eval-matplotlib-23412-t2-a1-4ad46a65,issue-eval-matplotlib-23412,matplotlib/matplotlib,2,COMPLETED,True,True,completed,54,66699,72,324.8
Pi,issue-eval-matplotlib-23412-t3-a1-1605b2d0,issue-eval-matplotlib-23412,matplotlib/matplotlib,3,COMPLETED,True,True,completed,75,75649,92,237.9
nanoCursor,issue-eval-matplotlib-23412-nanocursor-t1-a1-689e5a64,issue-eval-matplotlib-23412,matplotlib/matplotlib,1,COMPLETED,True,True,completed,92,79729,121,313.3
nanoCursor,issue-eval-matplotlib-23412-nanocursor-t2-a1-3b59ab00,issue-eval-matplotlib-23412,matplotlib/matplotlib,2,COMPLETED,True,True,completed,70,57397,84,220.2
nanoCursor,issue-eval-matplotlib-23412-nanocursor-t3-a1-de471e9b,issue-eval-matplotlib-23412,matplotlib/matplotlib,3,COMPLETED,True,True,completed,86,68377,120,323.1
Pi,issue-eval-pytest-8399-t1-a1-f9b4603f,issue-eval-pytest-8399,pytest-dev/pytest,1,COMPLETED,True,True,completed,50,67133,74,166.8
Pi,issue-eval-pytest-8399-t2-a1-8d504b1d,issue-eval-pytest-8399,pytest-dev/pytest,2,COMPLETED,True,True,completed,42,50811,56,140.8
Pi,issue-eval-pytest-8399-t3-a1-2f5ceea7,issue-eval-pytest-8399,pytest-dev/pytest,3,COMPLETED,True,True,completed,45,52691,63,137.3
nanoCursor,issue-eval-pytest-8399-nanocursor-t1-a1-01e09d2f,issue-eval-pytest-8399,pytest-dev/pytest,1,COMPLETED,True,True,completed,51,61019,69,222.0
nanoCursor,issue-eval-pytest-8399-nanocursor-t2-a1-37902aae,issue-eval-pytest-8399,pytest-dev/pytest,2,INFRA_BLOCKED,False,True,turn-limit,96,112256,135,375.6
nanoCursor,issue-eval-pytest-8399-nanocursor-t3-a1-fe355cd4,issue-eval-pytest-8399,pytest-dev/pytest,3,COMPLETED,True,True,completed,42,58212,65,189.6
Pi,issue-eval-requests-1142-t1-a1-40853a20,issue-eval-requests-1142,psf/requests,1,COMPLETED,True,True,completed,25,28198,32,82.5
Pi,issue-eval-requests-1142-t2-a1-2527b555,issue-eval-requests-1142,psf/requests,2,COMPLETED,True,True,completed,18,41708,25,99.6
Pi,issue-eval-requests-1142-t3-a1-f615abba,issue-eval-requests-1142,psf/requests,3,COMPLETED,True,True,completed,19,25578,25,88.3
nanoCursor,issue-eval-requests-1142-nanocursor-t1-a1-051ef9b1,issue-eval-requests-1142,psf/requests,1,COMPLETED,True,True,completed,42,61942,62,226.9
nanoCursor,issue-eval-requests-1142-nanocursor-t2-a1-b8d9588a,issue-eval-requests-1142,psf/requests,2,COMPLETED,True,True,completed,28,50298,38,147.4
nanoCursor,issue-eval-requests-1142-nanocursor-t3-a1-16522636,issue-eval-requests-1142,psf/requests,3,COMPLETED,True,True,completed,36,57231,50,228.2
Pi,issue-eval-sklearn-13142-t1-a1-58303bdf,issue-eval-sklearn-13142,scikit-learn/scikit-learn,1,COMPLETED,True,True,completed,42,32827,51,203.6
Pi,issue-eval-sklearn-13142-t2-a1-9b195057,issue-eval-sklearn-13142,scikit-learn/scikit-learn,2,COMPLETED,True,True,completed,21,28669,25,172.2
Pi,issue-eval-sklearn-13142-t3-a1-e93528f4,issue-eval-sklearn-13142,scikit-learn/scikit-learn,3,COMPLETED,True,True,completed,24,21967,30,110.4
nanoCursor,issue-eval-sklearn-13142-nanocursor-t1-a1-377bb239,issue-eval-sklearn-13142,scikit-learn/scikit-learn,1,COMPLETED,True,True,completed,16,20659,22,88.5
nanoCursor,issue-eval-sklearn-13142-nanocursor-t2-a1-40d19e62,issue-eval-sklearn-13142,scikit-learn/scikit-learn,2,COMPLETED,True,True,completed,19,16303,21,73.8
nanoCursor,issue-eval-sklearn-13142-nanocursor-t3-a1-a68fbe28,issue-eval-sklearn-13142,scikit-learn/scikit-learn,3,COMPLETED,True,True,completed,19,23362,23,152.7
Pi,issue-eval-sklearn-13328-t1-a1-5364c16a,issue-eval-sklearn-13328,scikit-learn/scikit-learn,1,COMPLETED,True,True,completed,16,20255,20,59.2
Pi,issue-eval-sklearn-13328-t2-a1-87977288,issue-eval-sklearn-13328,scikit-learn/scikit-learn,2,COMPLETED,True,True,completed,18,17263,22,71.0
Pi,issue-eval-sklearn-13328-t3-a1-37ec2970,issue-eval-sklearn-13328,scikit-learn/scikit-learn,3,COMPLETED,True,True,completed,19,18572,24,63.0
nanoCursor,issue-eval-sklearn-13328-nanocursor-t1-a1-c6876bd4,issue-eval-sklearn-13328,scikit-learn/scikit-learn,1,COMPLETED,True,True,completed,16,12898,18,78.2
nanoCursor,issue-eval-sklearn-13328-nanocursor-t2-a1-d526acac,issue-eval-sklearn-13328,scikit-learn/scikit-learn,2,COMPLETED,True,True,completed,24,21902,32,70.8
nanoCursor,issue-eval-sklearn-13328-nanocursor-t3-a1-1310dce9,issue-eval-sklearn-13328,scikit-learn/scikit-learn,3,COMPLETED,True,True,completed,36,30177,46,112.0
Pi,issue-eval-sphinx-10449-t1-a1-80d083e6,issue-eval-sphinx-10449,sphinx-doc/sphinx,1,COMPLETED,True,True,completed,38,70524,49,329.2
Pi,issue-eval-sphinx-10449-t2-a1-2c5852cd,issue-eval-sphinx-10449,sphinx-doc/sphinx,2,COMPLETED,True,True,completed,76,144653,100,617.4
Pi,issue-eval-sphinx-10449-t3-a1-ef4421b8,issue-eval-sphinx-10449,sphinx-doc/sphinx,3,COMPLETED,True,True,completed,52,91749,70,428.8
nanoCursor,issue-eval-sphinx-10449-nanocursor-t1-a1-c8c75aa6,issue-eval-sphinx-10449,sphinx-doc/sphinx,1,PARTIAL,False,False,completed,32,55568,41,190.2
nanoCursor,issue-eval-sphinx-10449-nanocursor-t2-a1-4dcb838f,issue-eval-sphinx-10449,sphinx-doc/sphinx,2,COMPLETED,True,True,completed,43,71708,55,300.5
nanoCursor,issue-eval-sphinx-10449-nanocursor-t3-a1-b0041ac3,issue-eval-sphinx-10449,sphinx-doc/sphinx,3,COMPLETED,True,True,completed,51,72931,64,277.0
Pi,issue-eval-sympy-11618-t1-a1-51163a34,issue-eval-sympy-11618,sympy/sympy,1,COMPLETED,True,True,completed,32,55565,38,162.9
Pi,issue-eval-sympy-11618-t2-a1-cbe48298,issue-eval-sympy-11618,sympy/sympy,2,COMPLETED,True,True,completed,32,41320,50,132.6
Pi,issue-eval-sympy-11618-t3-a1-9d5ab223,issue-eval-sympy-11618,sympy/sympy,3,COMPLETED,True,True,completed,35,39607,45,133.3
nanoCursor,issue-eval-sympy-11618-nanocursor-t1-a1-fc9aa9fd,issue-eval-sympy-11618,sympy/sympy,1,COMPLETED,True,True,completed,48,72992,58,306.8
nanoCursor,issue-eval-sympy-11618-nanocursor-t2-a1-922fb4cd,issue-eval-sympy-11618,sympy/sympy,2,COMPLETED,True,True,completed,31,38600,43,124.9
nanoCursor,issue-eval-sympy-11618-nanocursor-t3-a1-03bff72a,issue-eval-sympy-11618,sympy/sympy,3,COMPLETED,True,True,completed,33,37993,44,119.3
Pi,issue-eval-xarray-3677-t1-a1-9e82d634,issue-eval-xarray-3677,pydata/xarray,1,COMPLETED,True,True,completed,31,56069,46,180.1
Pi,issue-eval-xarray-3677-t2-a1-e4f51df5,issue-eval-xarray-3677,pydata/xarray,2,COMPLETED,True,True,completed,32,37698,42,129.8
Pi,issue-eval-xarray-3677-t3-a1-5ee3b887,issue-eval-xarray-3677,pydata/xarray,3,COMPLETED,True,True,completed,35,38389,47,140.6
nanoCursor,issue-eval-xarray-3677-nanocursor-t1-a1-8ce88cdf,issue-eval-xarray-3677,pydata/xarray,1,COMPLETED,True,True,completed,27,31840,34,109.1
